StudentRouteStopMapIID,StudentID,PickupStopMapID,DropStopMapID,IsOneWay,PickupRouteID,DropStopRouteID,SchoolID,AcademicYearID,TransportStatusID,ClassID,SectionID
36581,18449,121594.0,121594.0,,40900.0,40900.0,30,31,,33.0,11.0
36582,16930,121998.0,121998.0,False,40901.0,40901.0,30,31,1.0,1.0,27.0
36583,17422,122002.0,122002.0,False,40897.0,40897.0,30,31,2.0,18.0,9.0
36585,5628,121461.0,121461.0,,40865.0,40865.0,30,31,,18.0,21.0
36586,18572,121522.0,121522.0,,40881.0,40881.0,30,31,,1.0,26.0
36587,18571,121522.0,121522.0,,40881.0,40881.0,30,31,,18.0,9.0
36589,4925,121620.0,121620.0,,40907.0,40907.0,30,31,,23.0,21.0
36590,4924,121620.0,121620.0,,40907.0,40907.0,30,31,,18.0,10.0
36591,1408,121895.0,121895.0,False,40899.0,40899.0,30,31,2.0,23.0,21.0
36592,3439,121894.0,121894.0,False,40899.0,40899.0,30,31,2.0,7.0,7.0
36593,6188,121893.0,121893.0,False,40899.0,40899.0,30,31,2.0,7.0,8.0
36594,17069,121893.0,121893.0,False,40899.0,40899.0,30,31,2.0,21.0,9.0
36595,6068,121894.0,121894.0,False,40899.0,40899.0,30,31,2.0,21.0,21.0
36596,1919,121895.0,121895.0,False,40899.0,40899.0,30,31,2.0,21.0,11.0
36597,2115,121894.0,121894.0,False,40899.0,40899.0,30,31,2.0,21.0,8.0
36598,16906,121893.0,121893.0,False,40899.0,40899.0,30,31,2.0,18.0,7.0
36599,16904,121893.0,121893.0,False,40899.0,40899.0,30,31,2.0,18.0,22.0
36600,4252,121895.0,121895.0,False,40899.0,40899.0,30,31,2.0,18.0,8.0
36601,5626,121893.0,121893.0,False,40899.0,40899.0,30,31,2.0,18.0,10.0
36602,17611,121894.0,121894.0,False,40899.0,40899.0,30,31,2.0,18.0,9.0
