RouteStopMapIID,RouteID,StopName,Longitude,Latitude,geocode_lat,geocode_lon,final_lat,final_lon
121525,40882,MESSILA,,,25.3017387,51.4824336,25.3017387,51.4824336
121527,40882,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121528,40883,WUKAIR,,,25.1759556,51.5673439,25.1759556,51.5673439
121529,40883,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121530,40883,WUKAIR - STAFF,,,0.0,0.0,,
121532,40884,MUSHEIREB,,,25.2435173,51.3941289,25.2435173,51.3941289
121533,40884,FAREEJ ABDUL AZIZ,,,0.0,0.0,,
121534,40884,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121535,40885,MURRAH,,,25.2365611,51.4359204,25.2365611,51.4359204
121536,40885,SAILIYA,,,25.2045101,51.3606202,25.2045101,51.3606202
121537,40885,MUAITHER,,,25.2743043,51.4160217,25.2743043,51.4160217
121538,40885,BU SIDRA,,,25.7233388,51.0012251,25.7233388,51.0012251
121539,40885,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121540,40886,WUKAIR,,,25.1759556,51.5673439,25.1759556,51.5673439
121541,40886,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121542,40886,EZDAN 20 ZAHRAT AL JANOUB,,,0.0,0.0,,
121543,40887,MUNTAZAH,,,25.1779311,51.6104865,25.1779311,51.6104865
121544,40887,RAWDAT AL KHAIL,,,25.806681,51.3258633,25.806681,51.3258633
121545,40887,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121547,40888,THUMAMA,,,25.665219,51.5059239,25.665219,51.5059239
121548,40888,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121549,40889,HILAL,,,25.2603758,51.5464884,25.2603758,51.5464884
121550,40889,NUAIJA,,,25.2476252,51.531772,25.2476252,51.531772
121551,40889,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121553,40890,WAKRAH HOSPITAL SIDE,,,25.1675045,51.5874199,25.1675045,51.5874199
121554,40890,WAKRAH BEHIND RETAIL MART,,,0.0,0.0,,
121555,40890,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121556,40890,WAKRAH SOUTH,,,0.0,0.0,,
121557,40890,WAKRAH JANOUB STADIUM,,,25.1597079,51.5742271,25.1597079,51.5742271
121558,40891,EZDAN 3,,,25.1721247,51.5716001,25.1721247,51.5716001
121559,40891,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121561,40892,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121562,40892,AL JANOUB GARDEN,,,0.0,0.0,,
121563,40893,MESHAF,,,25.338151,51.4783909,25.338151,51.4783909
121564,40893,EZDAN 06,,,25.1721247,51.5716001,25.1721247,51.5716001
121565,40893,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121566,40893,EZDAN 56,,,25.1721247,51.5716001,25.1721247,51.5716001
121567,40894,MAMOURA,,,25.2457354,51.5307739,25.2457354,51.5307739
121568,40894,AZIZIYA,,,25.2482362,51.4442638,25.2482362,51.4442638
121569,40894,AL WAAB,,,25.2591268,51.4703557,25.2591268,51.4703557
121570,40894,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121571,40894,FAREEJ AL SOUDAN,,,25.2767385,51.4809771,25.2767385,51.4809771
121572,40895,MADINAT KHALIFA NORTH,,,25.3291018,51.475484,25.3291018,51.475484
121573,40895,MARKHIYA,,,25.3281657,51.4936494,25.3281657,51.4936494
121574,40895,STAFF,,,25.273537,51.5168102,25.273537,51.5168102
121575,40895,WESTBAY,,,25.3261119,51.5173168,25.3261119,51.5173168
121576,40895,ONAIZA,,,25.3230204,51.5212534,25.3230204,51.5212534
121577,40895,LEJBAILAT,,,25.320615,51.5053329,25.320615,51.5053329
121579,40895,LEKBA (DUHAIL SOUTH),,,0.0,0.0,,
